panel,role,model,dataset,precision,metric,n,errors,auroc,ci95_low,ci95_high,aurc
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,dsde,378,150,0.8357748538011697,0.793376461988304,0.877720029239766,0.20255029318369705
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,sde,378,150,0.8283187134502925,0.7861973684210527,0.8709067982456142,0.20521238940455439
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,exact_dsde,378,150,0.8243713450292397,0.7811513157894737,0.8664663742690059,0.20818889247420988
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,exact_sde,378,150,0.8159502923976607,0.7724254385964912,0.8591381578947367,0.2114097966613539
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,ast_mean,378,150,0.744546783625731,0.6934444444444445,0.7930738304093569,0.23043364119605506
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,distinct_ratio,378,150,0.7083918128654972,0.658577850877193,0.7538037280701753,0.2534414138361092
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,mean_nll,378,150,0.7404093567251462,0.688390350877193,0.7914963450292398,0.24752115136619215
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,worst_decile_nll,378,150,0.727485380116959,0.6742383040935673,0.7793347953216375,0.25814953893878406
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,mean_topk_entropy,378,150,0.7050292397660819,0.6504649122807018,0.7590650584795323,0.27379390726079655
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,margin_uncertainty,378,150,0.6485672514619883,0.5907587719298246,0.7051498538011697,0.30758740460089135
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q4,fusion_oof,378,150,0.838625730994152,0.7924532163742692,0.881783625730994,0.2090852768487457
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,dsde,378,148,0.8066098707403055,0.7610741039952997,0.8492802585193889,0.21556495840622472
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,sde,378,148,0.795226204465335,0.748761383666275,0.8383596504112809,0.21940807336231768
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,exact_dsde,378,148,0.7992361927144536,0.7528591363102232,0.8433174206815511,0.2217506083586483
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,exact_sde,378,148,0.7882638072855463,0.7414130434782608,0.8332729876615745,0.2256698520569615
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,ast_mean,378,148,0.7594594594594595,0.7086067861339601,0.8079623237367802,0.2240217653985336
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,distinct_ratio,378,148,0.7247649823736779,0.6740849001175089,0.7737264982373678,0.252472066285595
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,mean_nll,378,148,0.7369858989424207,0.6823413631022327,0.7873435663924795,0.2423999173433266
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,worst_decile_nll,378,148,0.7389541715628672,0.6868970329024677,0.7887830493537015,0.2327919665055664
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,mean_topk_entropy,378,148,0.7092538190364277,0.6532307579318449,0.7635744712103408,0.2608231047293775
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,margin_uncertainty,378,148,0.6347238542890716,0.5763763219741481,0.6950095475910694,0.3235702930890532
qwen_mbpp,development,Qwen2.5-Coder-1.5B-Instruct,MBPP+,q8,fusion_oof,378,148,0.8193889541715629,0.7718852820211516,0.8638080199764984,0.21260103757938836
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,dsde,164,66,0.8237476808905381,0.7547135899814471,0.883356524427953,0.19516896510313966
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,sde,164,66,0.8087507730364873,0.7381648113790972,0.8698206555349413,0.20007595049068572
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,exact_dsde,164,66,0.8201144094001238,0.7516987476808905,0.8785598330241189,0.19480353393490013
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,exact_sde,164,66,0.8013296227581943,0.7313601576994434,0.8625579777365492,0.20217990842596115
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,ast_mean,164,66,0.7115027829313544,0.6311031230674089,0.7923739950525666,0.24902368973561706
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,distinct_ratio,164,66,0.6322665429808287,0.5727388682745826,0.6901708410636983,0.291647179778438
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,mean_nll,164,66,0.5558132343846629,0.4639726345083488,0.6454931972789115,0.36043569369436007
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,worst_decile_nll,164,66,0.5231910946196661,0.433982683982684,0.6159632034632035,0.3807269728127104
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,mean_topk_entropy,164,66,0.564625850340136,0.4730983302411874,0.6550904452690168,0.35783470332540457
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,margin_uncertainty,164,66,0.5728200371057515,0.48314393939393935,0.6631106988249845,0.35062271614972385
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q4,fusion_oof,164,66,0.7824675324675325,0.7070191713048857,0.8554421768707482,0.21698606907722087
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,dsde,164,63,0.8370265597988371,0.7716485934307717,0.8944680182303946,0.16955493283489176
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,sde,164,63,0.8102310231023102,0.7394192990727644,0.8719982712556968,0.17774783554288978
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,exact_dsde,164,63,0.8506993556498507,0.7857142857142858,0.9040566556655666,0.1643261561319615
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,exact_sde,164,63,0.8153386767248154,0.7454797265440829,0.8751414427157002,0.17548008167023663
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,ast_mean,164,63,0.738016658808738,0.6561331133113312,0.8101524438158101,0.21226859957845606
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,distinct_ratio,164,63,0.6255696998271255,0.5685918591859186,0.6817617476033317,0.28322294296069095
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,mean_nll,164,63,0.5393682225365394,0.44585494263712083,0.626909476661952,0.34446030347774814
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,worst_decile_nll,164,63,0.5308816595945308,0.43815417256011313,0.6207763633506207,0.34530769175434145
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,mean_topk_entropy,164,63,0.5531981769605532,0.4623487348734873,0.6402718843312903,0.3420814766830709
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,margin_uncertainty,164,63,0.5484834197705485,0.4552844570171303,0.6368065377966368,0.3442410346818812
deepseek_humaneval,development,DeepSeek-Coder-1.3B-Instruct,HumanEval+,q8,fusion_oof,164,63,0.8191104824768191,0.749013829954424,0.8822882288228822,0.18121296464461062
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,dsde,164,63,0.8117240295458118,0.7462537325161087,0.873418591859186,0.19145835462082794
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,sde,164,63,0.7988370265597988,0.7308659437372309,0.8639026402640264,0.19506832659490786
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,exact_dsde,164,63,0.8183246896118184,0.7533376551940908,0.8767935722143643,0.18737733862875763
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,exact_sde,164,63,0.7976583372622977,0.7288209178060664,0.8603665723715229,0.1931453125906548
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,ast_mean,164,63,0.7018701870187019,0.6206113468489706,0.7796636806537797,0.22569671331898736
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,distinct_ratio,164,63,0.7055634134842056,0.6344452302373095,0.7718116454502594,0.23559897545849073
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,mean_nll,164,63,0.7551469432657552,0.6811213264183561,0.8266580229451517,0.20923366832180126
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,worst_decile_nll,164,63,0.782964010686783,0.7095670281313845,0.8521177117711771,0.20137815797535527
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,mean_topk_entropy,164,63,0.7414741474147414,0.6647768348263399,0.8156569228351407,0.22149319868153786
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,margin_uncertainty,164,63,0.6545654565456545,0.5657708628005658,0.738963539211064,0.28661686590839996
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q4,fusion_oof,164,63,0.811095395253811,0.7425703284614176,0.8708156529938708,0.16921562801864645
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,dsde,164,64,0.773671875,0.700310546875,0.8437578125,0.23962460021755708
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,sde,164,64,0.7675000000000001,0.6935136718750001,0.839380859375,0.24166774535042668
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,exact_dsde,164,64,0.7834375,0.7126562500000001,0.852267578125,0.2350828510279523
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,exact_sde,164,64,0.776328125,0.70437109375,0.8461835937500001,0.23788742185275152
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,ast_mean,164,64,0.75328125,0.6740546875,0.8265625,0.21693520262161467
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,distinct_ratio,164,64,0.674375,0.5989023437500001,0.745478515625,0.2589073666693815
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,mean_nll,164,64,0.75875,0.6821875,0.8301640625000001,0.2130292056050167
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,worst_decile_nll,164,64,0.77828125,0.70375,0.8487499999999999,0.2247791695100936
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,mean_topk_entropy,164,64,0.74265625,0.6665585937499999,0.81766015625,0.227963955986319
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,margin_uncertainty,164,64,0.669375,0.5813906249999999,0.7545351562500001,0.30666283643428205
qwen_humaneval,validation,Qwen2.5-Coder-1.5B-Instruct,HumanEval+,q8,fusion_oof,164,64,0.8071875,0.7362460937499999,0.8732812499999999,0.1859797535036881
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,dsde,378,175,0.8235045742434906,0.7788990147783251,0.8629560168895143,0.25965427765775334
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,sde,378,175,0.8143701618578467,0.7694155524278676,0.8546959887403237,0.26336125428563517
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,exact_dsde,378,175,0.8021252638986629,0.7567206192821958,0.8440682617874737,0.26888796758697586
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,exact_sde,378,175,0.793061224489796,0.7474704433497538,0.8352033779028852,0.27253921961153754
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,ast_mean,378,175,0.733539760731879,0.6838810696692469,0.783450387051372,0.3139872371997255
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,distinct_ratio,378,175,0.6401407459535539,0.5965647431386347,0.6852097114707951,0.3532406539397438
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,mean_nll,378,175,0.5337086558761435,0.47391273750879664,0.5944862772695285,0.4327605135228596
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,worst_decile_nll,378,175,0.5209289232934552,0.4629387755102041,0.5800731878958479,0.43282017806828876
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,mean_topk_entropy,378,175,0.5282477128782548,0.46873187895847995,0.589445460942998,0.43417183978172585
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,margin_uncertainty,378,175,0.5521182266009852,0.4941308937368051,0.6111766361717101,0.4222248717264567
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q4,fusion_oof,378,175,0.8197888810696693,0.7712807881773399,0.8630865587614356,0.28095528126726793
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,dsde,378,171,0.8242930191824167,0.783117213323163,0.8626733904003163,0.25686256669891017
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,sde,378,171,0.8122722264598696,0.7689352204989124,0.8522904483430799,0.26159746147181895
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,exact_dsde,378,171,0.8257055682684974,0.7839926406192614,0.8646385993163264,0.2566396939391442
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,exact_sde,378,171,0.8152244540497783,0.7720689606463825,0.8551042461225528,0.2609302251658524
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,ast_mean,378,171,0.7061897900952058,0.6532757013306213,0.7570436760177416,0.31360890000576663
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,distinct_ratio,378,171,0.5748651015622793,0.5355365567703477,0.6148561318755826,0.38621774564798206
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,mean_nll,378,171,0.5134898437720711,0.4540208209735288,0.5718606096561855,0.42470052904064404
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,worst_decile_nll,378,171,0.5407520411334293,0.4819596293471198,0.6015488600728875,0.4284547604088002
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,mean_topk_entropy,378,171,0.5086024239342317,0.4491461140774642,0.5671398706105036,0.4244146354829101
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,margin_uncertainty,378,171,0.53306777410515,0.47438695369664097,0.5926505071051218,0.4145888607523908
deepseek_mbpp,validation,DeepSeek-Coder-1.3B-Instruct,MBPP+,q8,fusion_oof,378,171,0.8191089640365004,0.775402576489533,0.8598207475209764,0.24657411421328773
