precision,metric,accepted,coverage,risk,threshold
q2,dsde,1,0.016666666666666666,0.0,0.0
q2,dsde,2,0.03333333333333333,0.5,0.0
q2,dsde,3,0.05,0.3333333333333333,0.0
q2,dsde,4,0.06666666666666667,0.5,0.0
q2,dsde,5,0.08333333333333333,0.4,0.0
q2,dsde,6,0.1,0.3333333333333333,0.0
q2,dsde,7,0.11666666666666667,0.2857142857142857,0.0
q2,dsde,8,0.13333333333333333,0.25,0.0
q2,dsde,9,0.15,0.2222222222222222,0.0
q2,dsde,10,0.16666666666666666,0.2,0.0
q2,dsde,11,0.18333333333333332,0.18181818181818182,0.0
q2,dsde,12,0.2,0.16666666666666666,0.0
q2,dsde,13,0.21666666666666667,0.15384615384615385,0.0
q2,dsde,14,0.23333333333333334,0.14285714285714285,0.0
q2,dsde,15,0.25,0.13333333333333333,0.0
q2,dsde,16,0.26666666666666666,0.1875,0.0
q2,dsde,17,0.2833333333333333,0.17647058823529413,0.0
q2,dsde,18,0.3,0.2222222222222222,0.0
q2,dsde,19,0.31666666666666665,0.21052631578947367,0.0
q2,dsde,20,0.3333333333333333,0.2,0.0
q2,dsde,21,0.35,0.23809523809523808,0.0
q2,dsde,22,0.36666666666666664,0.2727272727272727,0.0
q2,dsde,23,0.38333333333333336,0.2608695652173913,0.0
q2,dsde,24,0.4,0.25,0.0
q2,dsde,25,0.4166666666666667,0.24,0.0
q2,dsde,26,0.43333333333333335,0.2692307692307692,0.0
q2,dsde,27,0.45,0.25925925925925924,0.0
q2,dsde,28,0.4666666666666667,0.25,0.0
q2,dsde,29,0.48333333333333334,0.2413793103448276,0.0
q2,dsde,30,0.5,0.23333333333333334,0.0
q2,dsde,31,0.5166666666666667,0.25806451612903225,0.0
q2,dsde,32,0.5333333333333333,0.25,0.0
q2,dsde,33,0.55,0.24242424242424243,0.0
q2,dsde,34,0.5666666666666667,0.23529411764705882,0.0
q2,dsde,35,0.5833333333333334,0.22857142857142856,0.0
q2,dsde,36,0.6,0.2222222222222222,0.0
q2,dsde,37,0.6166666666666667,0.21621621621621623,0.0
q2,dsde,38,0.6333333333333333,0.21052631578947367,0.0
q2,dsde,39,0.65,0.23076923076923078,0.0
q2,dsde,40,0.6666666666666666,0.25,0.040691861578037905
q2,dsde,41,0.6833333333333333,0.24390243902439024,0.05793650793650793
q2,dsde,42,0.7,0.2619047619047619,0.0651644044568048
q2,dsde,43,0.7166666666666667,0.27906976744186046,0.08554146374458875
q2,dsde,44,0.7333333333333333,0.29545454545454547,0.12000000000000001
q2,dsde,45,0.75,0.3111111111111111,0.13394130298565599
q2,dsde,46,0.7666666666666667,0.32608695652173914,0.1518779597689115
q2,dsde,47,0.7833333333333333,0.3191489361702128,0.18552407972965748
q2,dsde,48,0.8,0.3333333333333333,0.19999999999999998
q2,dsde,49,0.8166666666666667,0.32653061224489793,0.2
